Site,Product Name,Price (LekÃ«),URL,Date,Time
Shpresa,iPhone 15 Pro Max,112990,https://shop.shpresa.al/product/apple-iphone-15-pro-max/,7/12/2024,11:41:31
3vFejzo,iPhone 15 Pro Max,112000,https://3vfejzo.al/product/iphone-15-pro-max-256gb/,7/12/2024,11:41:31
Neptun,iPhone 15 Pro Max,136990,https://www.neptun.al/categories/telefonia/Telefoni_Celulare/smartphone/iPhone-15-Pro-Max-256GB-Blue-Titanium-TL4077,7/12/2024,11:41:31
Shpresa,Macbook Pro 16,259990,https://shop.shpresa.al/product/apple-macbook-pro-16-18gb-512gb-ssd-m3-pro-2023/,7/12/2024,12:33:03
3vFejzo,Macbook Pro 16,279000,https://3vfejzo.al/product/apple-macbook-pro-16%e2%80%b3-32gb-1tb-ssd-m1-max-2022/,7/12/2024,12:33:37
Neptun,Macbook Pro 16,249997,https://www.neptun.al/categories/informatike/kompjuter/laptop/Apple-MacBook-Pro-16--mnw83ze-a-LP1835,7/12/2024,12:34:08
Shpresa,Apple Watch Ultra 2,79990,https://shop.shpresa.al/product/apple-watch-ultra-2/,7/12/2024,14:05:37
Neptun,Apple Watch Ultra 2,96990,https://www.neptun.al/categories/telefonia/Wearable/smartwatch/Apple-Watch-Ultra2-49mm-Titan---Green-Gray-M-L-SM0132,7/12/2024,14:07:05
Shpresa,iPhone 15 Pro Max,112990,https://shop.shpresa.al/product/apple-iphone-15-pro-max/,7/17/2024,21:06:05
3vFejzo,iPhone 15 Pro Max,112000,https://3vfejzo.al/product/iphone-15-pro-max-256gb/,7/17/2024,21:06:26
Neptun,iPhone 15 Pro Max,136990,https://www.neptun.al/categories/telefonia/Telefoni_Celulare/smartphone/iPhone-15-Pro-Max-256GB-Natural-Titanium-TL3948,7/17/2024,21:06:56
Shpresa,Samsung Galaxy S24 Ultra,87490,https://shop.shpresa.al/product/samsung-galaxy-s24-ultra/,7/18/2024,10:55:23
3vFejzo,Samsung Galaxy S24 Ultra,88600,https://3vfejzo.al/product/samsung-galaxy-s24-ultra/,7/18/2024,10:55:52
Neptun,Samsung Galaxy S24 Ultra,114990,https://www.neptun.al/categories/telefonia/Telefoni_Celulare/smartphone/Samsung-Galaxy-S24-Ultra--12-256GB-Titanium-Black-TL4105,7/18/2024,10:56:43
Shpresa,Samsung Galaxy S24 Ultra,87490,https://shop.shpresa.al/product/samsung-galaxy-s24-ultra/,7/18/2024,10:59:45
3vFejzo,Samsung Galaxy S24 Ultra,88600,https://3vfejzo.al/product/samsung-galaxy-s24-ultra/,7/18/2024,11:00:06
Neptun,Samsung Galaxy S24 Ultra,114990,https://www.neptun.al/categories/telefonia/Telefoni_Celulare/smartphone/Samsung-Galaxy-S24-Ultra--12-256GB-Titanium-Black-TL4105,7/18/2024,11:00:37
Shpresa,iPhone 15 Pro Max,112990,https://shop.shpresa.al/product/apple-iphone-15-pro-max/,7/18/2024,11:05:05
3vFejzo,iPhone 15 Pro Max,112000,https://3vfejzo.al/product/iphone-15-pro-max-256gb/,7/18/2024,11:05:25
Neptun,iPhone 15 Pro Max,136990,https://www.neptun.al/categories/telefonia/Telefoni_Celulare/smartphone/iPhone-15-Pro-Max-256GB-Natural-Titanium-TL3948,7/18/2024,11:06:13
Shpresa,Macbook Pro 16,259990,https://shop.shpresa.al/product/apple-macbook-pro-16-18gb-512gb-ssd-m3-pro-2023/,7/18/2024,13:16:14
3vFejzo,Macbook Pro 16,279000,https://3vfejzo.al/product/apple-macbook-pro-16%e2%80%b3-32gb-1tb-ssd-m1-max-2022/,7/18/2024,13:16:37
Neptun,Macbook Pro 16,249997,https://www.neptun.al/categories/informatike/kompjuter/laptop/Apple-MacBook-Pro-16--mnw83ze-a-LP1835,7/18/2024,13:20:44
Shpresa,Apple Watch Ultra 2,71990,https://shop.shpresa.al/product/apple-watch-ultra-2/,7/18/2024,13:44:58
3vFejzo,Apple Watch Ultra 2,72300,https://3vfejzo.al/product/apple-watch-ultra-2/,7/18/2024,13:45:19
Neptun,Apple Watch Ultra 2,96990,https://www.neptun.al/categories/telefonia/Wearable/smartwatch/Apple-Watch-Ultra2-49mm-Titan---Orange-Ocean-SM0118,7/18/2024,13:46:48
